source_id,article_id,text_id,length_bin,word_count,prompt_id,prompt_duration_sec,reference_text_path,audio_root,split,used_in_method_selection
S082,wiki_S082,T082,70-74,72,P02,8.37,data/reference_text/S082.txt,human_eval/audio/S082,human_eval,no
S083,wiki_S083,T083,70-74,70,P03,11.26,data/reference_text/S083.txt,human_eval/audio/S083,human_eval,no
S084,wiki_S084,T084,70-74,70,P04,9.46,data/reference_text/S084.txt,human_eval/audio/S084,human_eval,no
S085,wiki_S085,T085,75-79,77,P05,8.98,data/reference_text/S085.txt,human_eval/audio/S085,human_eval,no
S086,wiki_S086,T086,75-79,76,P06,9.13,data/reference_text/S086.txt,human_eval/audio/S086,human_eval,no
S087,wiki_S087,T087,75-79,79,P07,10.38,data/reference_text/S087.txt,human_eval/audio/S087,human_eval,no
S088,wiki_S088,T088,75-79,77,P08,8.5,data/reference_text/S088.txt,human_eval/audio/S088,human_eval,no
S089,wiki_S089,T089,75-79,76,P09,9.41,data/reference_text/S089.txt,human_eval/audio/S089,human_eval,no
S090,wiki_S090,T090,75-79,76,P10,10.53,data/reference_text/S090.txt,human_eval/audio/S090,human_eval,no
S091,wiki_S091,T091,75-79,79,P01,9.22,data/reference_text/S091.txt,human_eval/audio/S091,human_eval,no
S092,wiki_S092,T092,75-79,76,P02,3.16,data/reference_text/S092.txt,human_eval/audio/S092,human_eval,no
S093,wiki_S093,T093,75-79,77,P03,3.5,data/reference_text/S093.txt,human_eval/audio/S093,human_eval,no
S094,wiki_S094,T094,75-79,77,P04,9.11,data/reference_text/S094.txt,human_eval/audio/S094,human_eval,no
S095,wiki_S095,T095,75-79,78,P05,10.4,data/reference_text/S095.txt,human_eval/audio/S095,human_eval,no
S096,wiki_S096,T096,75-79,79,P06,8.11,data/reference_text/S096.txt,human_eval/audio/S096,human_eval,no
S097,wiki_S097,T097,100-119,102,P07,9.27,data/reference_text/S097.txt,human_eval/audio/S097,human_eval,no
S098,wiki_S098,T098,100-119,102,P08,3.26,data/reference_text/S098.txt,human_eval/audio/S098,human_eval,no
S099,wiki_S099,T099,100-119,104,P09,3.88,data/reference_text/S099.txt,human_eval/audio/S099,human_eval,no
S100,wiki_S100,T100,100-119,118,P10,6.38,data/reference_text/S100.txt,human_eval/audio/S100,human_eval,no
S101,wiki_S101,T101,100-119,106,P01,4.1,data/reference_text/S101.txt,human_eval/audio/S101,human_eval,no
S102,wiki_S102,T102,100-119,114,P02,9.37,data/reference_text/S102.txt,human_eval/audio/S102,human_eval,no
S103,wiki_S103,T103,100-119,116,P03,4.16,data/reference_text/S103.txt,human_eval/audio/S103,human_eval,no
S104,wiki_S104,T104,100-119,118,P04,10.86,data/reference_text/S104.txt,human_eval/audio/S104,human_eval,no
S105,wiki_S105,T105,100-119,118,P05,8.93,data/reference_text/S105.txt,human_eval/audio/S105,human_eval,no
S106,wiki_S106,T106,100-119,107,P06,10.95,data/reference_text/S106.txt,human_eval/audio/S106,human_eval,no
S107,wiki_S107,T107,100-119,116,P07,5.33,data/reference_text/S107.txt,human_eval/audio/S107,human_eval,no
S108,wiki_S108,T108,100-119,111,P08,8.0,data/reference_text/S108.txt,human_eval/audio/S108,human_eval,no
S109,wiki_S109,T109,160-180,176,P09,10.49,data/reference_text/S109.txt,human_eval/audio/S109,human_eval,no
S110,wiki_S110,T110,160-180,165,P10,9.31,data/reference_text/S110.txt,human_eval/audio/S110,human_eval,no
S111,wiki_S111,T111,160-180,163,P01,5.27,data/reference_text/S111.txt,human_eval/audio/S111,human_eval,no
S112,wiki_S112,T112,160-180,168,P02,7.83,data/reference_text/S112.txt,human_eval/audio/S112,human_eval,no
S113,wiki_S113,T113,160-180,175,P03,3.62,data/reference_text/S113.txt,human_eval/audio/S113,human_eval,no
S114,wiki_S114,T114,160-180,167,P04,7.89,data/reference_text/S114.txt,human_eval/audio/S114,human_eval,no
S115,wiki_S115,T115,160-180,174,P05,4.19,data/reference_text/S115.txt,human_eval/audio/S115,human_eval,no
S116,wiki_S116,T116,160-180,166,P06,7.21,data/reference_text/S116.txt,human_eval/audio/S116,human_eval,no
S117,wiki_S117,T117,160-180,167,P07,7.05,data/reference_text/S117.txt,human_eval/audio/S117,human_eval,no
S118,wiki_S118,T118,160-180,174,P08,9.79,data/reference_text/S118.txt,human_eval/audio/S118,human_eval,no
S119,wiki_S119,T119,160-180,172,P09,8.67,data/reference_text/S119.txt,human_eval/audio/S119,human_eval,no
S120,wiki_S120,T120,160-180,174,P10,9.01,data/reference_text/S120.txt,human_eval/audio/S120,human_eval,no
