listener_id,source_id,system,completion,major_error,mos
L02,S012,Base,1,0,4
L02,S013,Base,0,1,4
L02,S014,Base,1,0,4
L02,S015,Base,0,0,4
L02,S016,Base,1,0,4
L02,S017,Base,0,1,4
L02,S018,Base,1,0,4
L02,S019,Base,0,0,4
L02,S020,Base,0,1,4
L02,S021,Base,1,0,4
L02,S022,Base,0,0,4
L02,S023,Base,1,0,4
L02,S024,Base,0,1,4
L02,S025,Base,1,0,4
L02,S026,Base,1,0,4
L02,S027,Base,1,0,4
L02,S028,Base,1,0,4
L02,S029,Base,1,0,4
L02,S030,Base,1,0,4
L02,S031,Base,1,0,4
L02,S032,Base,1,0,4
L02,S033,Base,0,1,4
L02,S034,Base,1,0,4
L02,S035,Base,0,0,4
L02,S036,Base,1,0,4
L02,S037,Base,1,0,4
L02,S038,Base,0,0,5
L02,S039,Base,0,0,5
L02,S040,Base,0,0,4
L02,S041,Base,1,0,4
L02,S042,Base,0,0,4
L02,S043,Base,0,0,4
L02,S044,Base,0,1,4
L02,S045,Base,0,1,4
L02,S046,Base,1,0,4
L02,S047,Base,1,0,4
L02,S048,Base,0,0,4
L02,S049,Base,0,0,4
L02,S050,Base,1,0,4
L02,S051,Base,1,0,4
L02,S052,Base,1,0,4
L02,S053,Base,1,0,4
L02,S054,Base,1,0,4
L02,S055,Base,1,0,4
L02,S056,Base,1,0,4
L02,S057,Base,1,0,4
L02,S058,Base,0,1,4
L02,S059,Base,1,0,4
L02,S060,Base,0,0,4
L02,S061,Base,1,0,4
L02,S062,Base,0,0,4
L02,S063,Base,1,0,4
L02,S064,Base,1,0,4
L02,S065,Base,1,0,4
L02,S066,Base,1,0,4
L02,S067,Base,1,0,4
L02,S068,Base,0,1,4
L02,S069,Base,1,0,4
L02,S070,Base,0,1,4
L02,S071,Base,0,1,4
L02,S072,Base,1,0,4
L02,S073,Base,0,0,4
L02,S074,Base,1,0,4
L02,S075,Base,1,0,4
L02,S076,Base,1,0,4
L02,S077,Base,1,0,4
L02,S078,Base,1,0,4
L02,S079,Base,0,0,4
L02,S080,Base,1,0,4
L02,S081,Base,1,0,4
L02,S082,Base,0,1,4
L02,S083,Base,1,0,4
L02,S084,Base,1,0,4
L02,S085,Base,0,0,4
L02,S086,Base,1,0,4
L02,S087,Base,1,0,4
L02,S088,Base,1,0,4
L02,S089,Base,1,0,4
L02,S090,Base,0,1,4
L02,S091,Base,1,0,4
L02,S092,Base,1,0,4
L02,S093,Base,0,0,4
L02,S094,Base,1,0,4
L02,S095,Base,1,0,4
L02,S096,Base,1,0,4
L02,S097,Base,1,0,4
L02,S098,Base,1,0,4
L02,S099,Base,1,0,4
L02,S100,Base,0,0,4
L02,S101,Base,1,0,4
L02,S102,Base,1,0,4
L02,S103,Base,1,0,4
L02,S104,Base,0,0,4
L02,S105,Base,0,0,4
L02,S106,Base,1,0,4
L02,S107,Base,0,0,4
L02,S108,Base,1,0,4
L02,S109,Base,1,0,4
L02,S110,Base,1,0,4
L02,S111,Base,1,0,4
L02,S112,Base,1,0,4
L02,S113,Base,0,0,4
L02,S114,Base,1,0,4
L02,S115,Base,1,0,4
L02,S116,Base,1,0,4
L02,S117,Base,0,0,4
L02,S118,Base,0,1,4
L02,S119,Base,1,0,4
L02,S120,Base,1,0,4
L03,S001,Base,0,0,4
L03,S002,Base,1,0,4
L03,S003,Base,0,0,4
L03,S004,Base,1,0,4
L03,S005,Base,1,0,4
L03,S006,Base,1,0,4
L03,S007,Base,0,0,4
L03,S008,Base,1,0,4
L03,S009,Base,1,0,4
L03,S010,Base,1,0,4
L03,S011,Base,1,0,4
L03,S012,Base,0,0,4
L03,S013,Base,0,1,4
L03,S014,Base,1,0,4
L03,S015,Base,1,0,4
L03,S016,Base,1,0,4
L03,S017,Base,0,1,4
L03,S018,Base,1,0,4
L03,S019,Base,1,0,4
L03,S020,Base,1,0,4
L03,S021,Base,0,1,4
L03,S022,Base,1,0,4
L03,S023,Base,1,0,4
L03,S024,Base,1,0,4
L03,S025,Base,1,0,4
L03,S026,Base,1,0,4
L03,S027,Base,1,0,4
L03,S028,Base,0,1,4
L03,S029,Base,1,0,4
L03,S030,Base,1,0,4
L03,S031,Base,0,0,4
L03,S032,Base,1,0,4
L03,S033,Base,1,0,4
L03,S034,Base,1,0,4
L03,S035,Base,0,1,4
L03,S036,Base,1,0,4
L03,S037,Base,1,0,5
L03,S038,Base,0,0,4
L03,S039,Base,0,1,4
L03,S040,Base,1,0,4
L03,S041,Base,0,1,4
L03,S042,Base,1,0,4
L03,S043,Base,1,0,4
L03,S044,Base,1,0,4
L03,S045,Base,1,0,4
L03,S046,Base,1,0,4
L03,S047,Base,0,0,4
L03,S048,Base,0,1,4
L03,S049,Base,1,0,4
L03,S050,Base,0,1,4
L03,S051,Base,1,0,4
L03,S052,Base,1,0,4
L03,S053,Base,1,0,4
L03,S054,Base,0,0,4
L03,S055,Base,1,0,4
L03,S056,Base,1,0,4
L03,S057,Base,0,1,4
L03,S058,Base,0,0,4
L03,S059,Base,0,0,4
L03,S060,Base,0,0,4
L03,S061,Base,1,0,4
L03,S062,Base,1,0,4
L03,S063,Base,1,0,4
L03,S064,Base,0,0,4
L03,S065,Base,1,0,4
L03,S066,Base,0,1,4
L03,S067,Base,1,0,4
L03,S068,Base,0,0,4
L03,S069,Base,1,0,4
L03,S070,Base,0,1,4
L03,S071,Base,0,0,4
L03,S072,Base,1,0,4
L03,S073,Base,0,1,4
L03,S074,Base,1,0,4
L03,S075,Base,0,1,4
L03,S076,Base,0,1,4
L03,S077,Base,1,0,4
L03,S078,Base,0,0,4
L03,S079,Base,1,0,4
L03,S080,Base,0,1,4
L03,S081,Base,1,0,4
L03,S082,Base,0,0,4
L03,S083,Base,0,0,4
L03,S084,Base,0,0,4
L03,S085,Base,1,0,4
L03,S086,Base,0,0,4
L03,S087,Base,1,0,4
L03,S088,Base,1,0,4
L03,S089,Base,0,0,4
L03,S090,Base,0,0,5
L03,S091,Base,1,0,4
L03,S092,Base,0,0,4
L03,S093,Base,1,0,4
L03,S094,Base,1,0,4
L03,S095,Base,1,0,4
L03,S096,Base,0,0,4
L03,S097,Base,1,0,4
L03,S098,Base,1,0,5
L03,S099,Base,1,0,4
L03,S100,Base,1,0,4
L03,S101,Base,1,0,4
L03,S102,Base,0,0,4
L03,S103,Base,1,0,4
L03,S104,Base,0,0,4
L03,S105,Base,1,0,4
L03,S106,Base,1,0,4
L03,S107,Base,1,0,4
L03,S108,Base,1,0,4
L03,S109,Base,1,0,4
L03,S110,Base,1,0,4
L03,S111,Base,0,0,4
L03,S112,Base,1,0,4
L03,S113,Base,0,0,4
L03,S114,Base,1,0,4
L03,S115,Base,1,0,4
L03,S116,Base,1,0,4
L03,S117,Base,0,0,4
L03,S118,Base,0,1,4
L03,S119,Base,1,0,4
L03,S120,Base,1,0,4
L04,S001,Base,1,0,4
L04,S002,Base,1,0,4
L04,S003,Base,0,0,4
L04,S004,Base,0,0,4
L04,S005,Base,0,1,4
L04,S006,Base,0,0,4
L04,S007,Base,0,1,4
L04,S008,Base,1,0,4
L04,S009,Base,0,1,4
L04,S010,Base,1,0,4
L04,S011,Base,1,0,4
L04,S012,Base,0,1,4
L04,S013,Base,1,0,4
L04,S014,Base,0,1,4
L04,S015,Base,1,0,4
L04,S016,Base,0,0,4
L04,S017,Base,1,0,4
L04,S018,Base,1,0,4
L04,S019,Base,0,1,4
L04,S020,Base,1,0,4
L04,S021,Base,1,0,4
L04,S022,Base,0,0,4
L04,S023,Base,1,0,4
L04,S024,Base,1,0,4
L04,S025,Base,1,0,4
L04,S026,Base,0,1,4
L04,S027,Base,0,1,4
L04,S028,Base,0,1,4
L04,S029,Base,1,0,4
L04,S030,Base,0,1,4
L04,S031,Base,1,0,4
L04,S032,Base,1,0,4
L04,S033,Base,1,0,4
L04,S034,Base,0,1,4
L04,S035,Base,0,1,4
L04,S036,Base,0,1,4
L04,S037,Base,1,0,4
L04,S038,Base,1,0,4
L04,S039,Base,0,1,4
L04,S040,Base,1,0,4
L04,S041,Base,0,0,4
L04,S042,Base,1,0,4
L04,S043,Base,0,1,4
L04,S044,Base,1,0,4
L04,S045,Base,0,1,4
L04,S046,Base,0,1,4
L04,S047,Base,1,0,4
L04,S048,Base,1,0,4
L04,S049,Base,1,0,4
L04,S050,Base,0,0,4
L04,S051,Base,0,0,4
L04,S052,Base,1,0,4
L04,S053,Base,0,0,4
L04,S054,Base,0,1,4
L04,S055,Base,1,0,4
L04,S056,Base,0,1,4
L04,S057,Base,1,0,4
L04,S058,Base,0,0,4
L04,S059,Base,1,0,4
L04,S060,Base,1,0,4
L04,S061,Base,1,0,4
L04,S062,Base,0,0,4
L04,S063,Base,1,0,4
L04,S064,Base,0,1,4
L04,S065,Base,1,0,4
L04,S066,Base,0,0,4
L04,S067,Base,0,0,4
L04,S068,Base,1,0,4
L04,S069,Base,1,0,4
L04,S070,Base,1,0,4
L04,S071,Base,1,0,4
L04,S072,Base,0,1,4
L04,S073,Base,1,0,4
L04,S074,Base,0,1,4
L04,S075,Base,1,0,4
L04,S076,Base,1,0,4
L04,S077,Base,1,0,4
L04,S078,Base,1,0,4
L04,S079,Base,0,0,4
L04,S080,Base,1,0,4
L04,S081,Base,1,0,4
L04,S082,Base,1,0,4
L04,S083,Base,1,0,4
L04,S084,Base,1,0,4
L04,S085,Base,0,0,4
L04,S086,Base,1,0,4
L04,S087,Base,1,0,4
L04,S088,Base,1,0,4
L04,S089,Base,1,0,4
L04,S090,Base,1,0,4
L04,S091,Base,1,0,4
L04,S092,Base,0,0,4
L04,S093,Base,1,0,4
L04,S094,Base,1,0,4
L04,S095,Base,1,0,4
L04,S096,Base,1,0,4
L04,S097,Base,0,1,4
L04,S098,Base,1,0,4
L04,S099,Base,0,1,4
L04,S100,Base,0,0,4
L04,S101,Base,0,1,4
L04,S102,Base,0,0,4
L04,S103,Base,0,1,4
L04,S104,Base,1,0,4
L04,S105,Base,1,0,4
L04,S106,Base,1,0,4
L04,S107,Base,1,0,4
L04,S108,Base,0,0,4
L04,S109,Base,1,0,4
L04,S110,Base,0,0,4
L04,S111,Base,0,0,4
L04,S112,Base,0,1,4
L04,S113,Base,0,1,4
L04,S114,Base,1,0,4
L04,S115,Base,0,1,4
L04,S116,Base,1,0,4
L04,S117,Base,1,0,4
L04,S118,Base,1,0,4
L04,S119,Base,0,1,4
L04,S120,Base,1,0,4
L05,S001,Base,0,1,4
L05,S002,Base,1,0,4
L05,S003,Base,1,0,4
L05,S004,Base,0,1,4
L05,S005,Base,1,0,4
L05,S006,Base,1,0,4
L05,S007,Base,1,0,4
L05,S008,Base,1,0,4
L05,S009,Base,0,0,4
L05,S010,Base,1,0,5
L05,S011,Base,1,0,4
L05,S012,Base,1,0,4
L05,S013,Base,1,0,4
L05,S014,Base,1,0,4
L05,S015,Base,1,0,4
L05,S016,Base,1,0,4
L05,S017,Base,1,0,4
L05,S018,Base,1,0,4
L05,S019,Base,1,0,4
L05,S020,Base,0,0,4
L05,S021,Base,1,0,4
L05,S022,Base,1,0,4
L05,S023,Base,0,0,4
L05,S024,Base,1,0,4
L05,S025,Base,0,0,4
L05,S026,Base,1,0,4
L05,S027,Base,0,1,4
L05,S028,Base,1,0,4
L05,S029,Base,0,1,4
L05,S030,Base,0,0,4
L05,S031,Base,1,0,4
L05,S032,Base,0,1,4
L05,S033,Base,1,0,4
L05,S034,Base,0,0,4
L05,S035,Base,1,0,4
L05,S036,Base,0,1,4
L05,S037,Base,1,0,4
L05,S038,Base,0,1,4
L05,S039,Base,0,1,4
L05,S040,Base,0,0,4
L05,S041,Base,0,1,4
L05,S042,Base,0,1,4
L05,S043,Base,1,0,4
L05,S044,Base,1,0,4
L05,S045,Base,1,0,4
L05,S046,Base,0,0,4
L05,S047,Base,1,0,4
L05,S048,Base,0,0,4
L05,S049,Base,0,0,4
L05,S050,Base,0,1,4
L05,S051,Base,0,0,4
L05,S052,Base,0,0,4
L05,S053,Base,0,0,4
L05,S054,Base,1,0,4
L05,S055,Base,0,0,4
L05,S056,Base,1,0,4
L05,S057,Base,0,0,4
L05,S058,Base,1,0,4
L05,S059,Base,1,0,4
L05,S060,Base,1,0,4
L05,S061,Base,1,0,4
L05,S062,Base,1,0,4
L05,S063,Base,0,1,4
L05,S064,Base,1,0,4
L05,S065,Base,1,0,4
L05,S066,Base,1,0,4
L05,S067,Base,1,0,4
L05,S068,Base,0,1,4
L05,S069,Base,0,1,4
L05,S070,Base,0,1,4
L05,S071,Base,0,0,4
L05,S072,Base,0,0,4
L05,S073,Base,1,0,4
L05,S074,Base,0,0,4
L05,S075,Base,0,1,4
L05,S076,Base,0,1,4
L05,S077,Base,0,0,4
L05,S078,Base,0,0,4
L05,S079,Base,0,0,4
L05,S080,Base,0,0,5
L05,S081,Base,1,0,4
L05,S082,Base,1,0,4
L05,S083,Base,0,0,4
L05,S084,Base,1,0,4
L05,S085,Base,1,0,4
L05,S086,Base,1,0,4
L05,S087,Base,1,0,4
L05,S088,Base,1,0,4
L05,S089,Base,1,0,4
L05,S090,Base,1,0,4
L05,S091,Base,0,0,4
L05,S092,Base,1,0,4
L05,S093,Base,1,0,4
L05,S094,Base,0,0,4
L05,S095,Base,0,0,4
L05,S096,Base,1,0,4
L05,S097,Base,1,0,4
L05,S098,Base,1,0,4
L05,S099,Base,0,0,4
L05,S100,Base,0,1,4
L05,S101,Base,1,0,4
L05,S102,Base,0,0,4
L05,S103,Base,0,0,4
L05,S104,Base,1,0,4
L05,S105,Base,1,0,4
L05,S106,Base,0,1,4
L05,S107,Base,1,0,4
L05,S108,Base,1,0,4
L05,S109,Base,1,0,4
L05,S110,Base,0,1,4
L05,S111,Base,1,0,4
L05,S112,Base,1,0,4
L05,S113,Base,0,1,4
L05,S114,Base,0,0,4
L05,S115,Base,0,0,4
L05,S116,Base,1,0,4
L05,S117,Base,1,0,4
L05,S118,Base,1,0,4
L05,S119,Base,1,0,4
L05,S120,Base,0,0,4
L06,S001,Base,1,0,4
L06,S002,Base,1,0,4
L06,S003,Base,1,0,4
L06,S004,Base,0,0,4
L06,S005,Base,1,0,4
L06,S006,Base,1,0,4
L06,S007,Base,1,0,4
L06,S008,Base,1,0,4
L06,S009,Base,1,0,4
L06,S010,Base,0,1,4
L06,S011,Base,1,0,4
L06,S012,Base,0,1,4
L06,S013,Base,1,0,4
L06,S014,Base,1,0,4
L06,S015,Base,0,0,4
L06,S016,Base,1,0,4
L06,S017,Base,1,0,4
L06,S018,Base,0,0,4
L06,S019,Base,0,0,4
L06,S020,Base,1,0,4
L06,S021,Base,0,0,4
L06,S022,Base,0,1,4
L06,S023,Base,0,0,4
L06,S024,Base,1,0,4
L06,S025,Base,1,0,4
L06,S026,Base,1,0,4
L06,S027,Base,0,0,4
L06,S028,Base,1,0,4
L06,S029,Base,1,0,4
L06,S030,Base,0,0,4
L06,S031,Base,0,1,4
L06,S032,Base,1,0,4
L06,S033,Base,0,0,4
L06,S034,Base,0,0,4
L06,S035,Base,0,0,4
L06,S036,Base,1,0,4
L06,S037,Base,1,0,4
L06,S038,Base,1,0,4
L06,S039,Base,0,0,4
L06,S040,Base,0,1,4
L06,S041,Base,0,1,4
L06,S042,Base,0,0,4
L06,S043,Base,0,0,4
L06,S044,Base,1,0,4
L06,S045,Base,0,1,4
L06,S046,Base,1,0,4
L06,S047,Base,1,0,4
L06,S048,Base,1,0,4
L06,S049,Base,1,0,4
L06,S050,Base,1,0,4
L06,S051,Base,1,0,4
L06,S052,Base,1,0,4
L06,S053,Base,1,0,4
L06,S054,Base,1,0,4
L06,S055,Base,1,0,5
L06,S056,Base,0,0,4
L06,S057,Base,1,0,4
L06,S058,Base,0,0,4
L06,S059,Base,1,0,4
L06,S060,Base,1,0,4
L06,S061,Base,1,0,4
L06,S062,Base,1,0,4
L06,S063,Base,0,0,4
L06,S064,Base,1,0,4
L06,S065,Base,1,0,4
L06,S066,Base,0,0,4
L06,S067,Base,1,0,4
L06,S068,Base,1,0,4
L06,S069,Base,0,0,4
L06,S070,Base,0,1,4
L06,S071,Base,1,0,4
L06,S072,Base,1,0,4
L06,S073,Base,0,1,4
L06,S074,Base,0,0,4
L06,S075,Base,1,0,4
L06,S076,Base,1,0,4
L06,S077,Base,0,0,4
L06,S078,Base,0,0,4
L06,S079,Base,1,0,4
L06,S080,Base,1,0,4
L06,S081,Base,0,0,4
L06,S082,Base,0,1,4
L06,S083,Base,1,0,4
L06,S084,Base,1,0,4
L06,S085,Base,0,1,4
L06,S086,Base,1,0,4
L06,S087,Base,1,0,4
L06,S088,Base,0,1,4
L06,S089,Base,0,0,4
L06,S090,Base,1,0,4
L06,S091,Base,1,0,4
L06,S092,Base,0,0,4
L06,S093,Base,0,0,4
L06,S094,Base,1,0,4
L06,S095,Base,1,0,4
L06,S096,Base,1,0,4
L06,S097,Base,0,1,4
L06,S098,Base,1,0,4
L06,S099,Base,1,0,4
L06,S100,Base,1,0,4
L06,S101,Base,1,0,4
L06,S102,Base,1,0,4
L06,S103,Base,0,0,4
L06,S104,Base,0,0,4
L06,S105,Base,0,0,4
L06,S106,Base,0,0,4
L06,S107,Base,1,0,4
L06,S108,Base,0,1,4
L06,S109,Base,0,1,4
L06,S110,Base,1,0,4
L06,S111,Base,1,0,4
L06,S112,Base,0,0,4
L06,S113,Base,0,1,4
L06,S114,Base,1,0,4
L06,S115,Base,0,0,4
L06,S116,Base,1,0,4
L06,S117,Base,1,0,4
L06,S118,Base,1,0,4
L06,S119,Base,1,0,4
L06,S120,Base,0,0,4
L07,S001,Base,1,0,4
L07,S002,Base,0,1,4
L07,S003,Base,0,1,4
L07,S004,Base,0,1,4
L07,S005,Base,1,0,4
L07,S006,Base,1,0,5
L07,S007,Base,0,1,4
L07,S008,Base,1,0,4
L07,S009,Base,1,0,4
L07,S010,Base,1,0,4
L07,S011,Base,0,0,4
L07,S012,Base,0,0,4
L07,S013,Base,0,1,4
L07,S014,Base,1,0,4
L07,S015,Base,1,0,4
L07,S016,Base,1,0,4
L07,S017,Base,0,1,4
L07,S018,Base,1,0,4
L07,S019,Base,0,0,4
L07,S020,Base,0,0,4
L07,S021,Base,0,1,4
L07,S022,Base,1,0,4
L07,S023,Base,0,1,4
L07,S024,Base,1,0,4
L07,S025,Base,1,0,4
L07,S026,Base,1,0,4
L07,S027,Base,1,0,4
L07,S028,Base,1,0,4
L07,S029,Base,1,0,4
L07,S030,Base,0,1,4
L07,S031,Base,1,0,4
L07,S032,Base,0,1,4
L07,S033,Base,1,0,4
L07,S034,Base,0,0,4
L07,S035,Base,1,0,4
L07,S036,Base,1,0,4
L07,S037,Base,1,0,4
L07,S038,Base,1,0,4
L07,S039,Base,0,1,4
L07,S040,Base,1,0,4
L07,S041,Base,1,0,4
L07,S042,Base,0,0,4
L07,S043,Base,0,0,4
L07,S044,Base,1,0,4
L07,S045,Base,0,0,4
L07,S046,Base,1,0,4
L07,S047,Base,0,1,4
L07,S048,Base,1,0,4
L07,S049,Base,0,1,4
L07,S050,Base,1,0,4
L07,S051,Base,0,0,4
L07,S052,Base,0,0,4
L07,S053,Base,1,0,4
L07,S054,Base,0,1,4
L07,S055,Base,1,0,4
L07,S056,Base,1,0,4
L07,S057,Base,0,0,4
L07,S058,Base,1,0,4
L07,S059,Base,0,1,4
L07,S060,Base,1,0,4
L07,S061,Base,1,0,4
L07,S062,Base,0,0,4
L07,S063,Base,0,1,4
L07,S064,Base,0,0,4
L07,S065,Base,1,0,4
L07,S066,Base,0,1,4
L07,S067,Base,0,0,4
L07,S068,Base,0,0,4
L07,S069,Base,0,1,4
L07,S070,Base,0,1,4
L07,S071,Base,0,0,4
L07,S072,Base,0,1,4
L07,S073,Base,1,0,4
L07,S074,Base,0,1,4
L07,S075,Base,0,1,4
L07,S076,Base,1,0,5
L07,S077,Base,1,0,4
L07,S078,Base,1,0,4
L07,S079,Base,0,0,4
L07,S080,Base,1,0,5
L07,S081,Base,1,0,4
L07,S082,Base,0,0,4
L07,S083,Base,1,0,4
L07,S084,Base,1,0,4
L07,S085,Base,0,1,4
L07,S086,Base,1,0,4
L07,S087,Base,0,1,4
L07,S088,Base,0,0,4
L07,S089,Base,1,0,4
L07,S090,Base,1,0,4
L07,S091,Base,0,1,4
L07,S092,Base,0,1,4
L07,S093,Base,0,0,4
L07,S094,Base,0,1,4
L07,S095,Base,1,0,4
L07,S096,Base,0,1,4
L07,S097,Base,1,0,4
L07,S098,Base,1,0,4
L07,S099,Base,1,0,4
L07,S100,Base,1,0,4
L07,S101,Base,0,1,4
L07,S102,Base,1,0,4
L07,S103,Base,1,0,4
L07,S104,Base,1,0,4
L07,S105,Base,1,0,4
L07,S106,Base,1,0,4
L07,S107,Base,1,0,4
L07,S108,Base,1,0,4
L07,S109,Base,0,1,4
L07,S110,Base,0,0,4
L07,S111,Base,1,0,4
L07,S112,Base,0,1,4
L07,S113,Base,1,0,4
L07,S114,Base,1,0,4
L07,S115,Base,0,0,4
L07,S116,Base,0,0,4
L07,S117,Base,0,0,4
L07,S118,Base,0,0,4
L07,S119,Base,1,0,4
L07,S120,Base,0,0,4
L08,S001,Base,1,0,4
L08,S002,Base,1,0,4
L08,S003,Base,1,0,4
L08,S004,Base,1,0,4
L08,S005,Base,0,1,4
L08,S006,Base,0,0,4
L08,S007,Base,1,0,4
L08,S008,Base,1,0,4
L08,S009,Base,1,0,4
L08,S010,Base,1,0,4
L08,S011,Base,1,0,4
L08,S012,Base,1,0,4
L08,S013,Base,0,1,4
L08,S014,Base,0,0,4
L08,S015,Base,1,0,4
L08,S016,Base,1,0,4
L08,S017,Base,1,0,4
L08,S018,Base,1,0,4
L08,S019,Base,1,0,4
L08,S020,Base,1,0,4
L08,S021,Base,0,1,4
L08,S022,Base,0,1,4
L08,S023,Base,1,0,4
L08,S024,Base,1,0,4
L08,S025,Base,1,0,4
L08,S026,Base,1,0,5
L08,S027,Base,0,1,4
L08,S028,Base,0,0,4
L08,S029,Base,1,0,4
L08,S030,Base,0,0,4
L08,S031,Base,0,1,4
L08,S032,Base,1,0,4
L08,S033,Base,0,1,4
L08,S034,Base,1,0,4
L08,S035,Base,0,1,4
L08,S036,Base,0,1,4
L08,S037,Base,1,0,4
L08,S038,Base,0,0,4
L08,S039,Base,0,0,4
L08,S040,Base,1,0,4
L08,S041,Base,1,0,4
L08,S042,Base,0,0,4
L08,S043,Base,1,0,4
L08,S044,Base,1,0,4
L08,S045,Base,0,0,4
L08,S046,Base,1,0,4
L08,S047,Base,1,0,4
L08,S048,Base,0,1,4
L08,S049,Base,1,0,4
L08,S050,Base,1,0,4
L08,S051,Base,1,0,4
L08,S052,Base,0,1,4
L08,S053,Base,0,1,4
L08,S054,Base,1,0,4
L08,S055,Base,0,0,4
L08,S056,Base,0,0,4
L08,S057,Base,0,0,4
L08,S058,Base,0,1,4
L08,S059,Base,0,0,4
L08,S060,Base,1,0,4
L08,S061,Base,1,0,4
L08,S062,Base,1,0,4
L08,S063,Base,0,0,4
L08,S064,Base,1,0,4
L08,S065,Base,1,0,4
L08,S066,Base,1,0,4
L08,S067,Base,0,1,4
L08,S068,Base,1,0,4
L08,S069,Base,0,1,4
L08,S070,Base,0,0,4
L08,S071,Base,1,0,4
L08,S072,Base,0,1,4
L08,S073,Base,0,0,4
L08,S074,Base,0,1,4
L08,S075,Base,0,0,4
L08,S076,Base,1,0,4
L08,S077,Base,1,0,4
L08,S078,Base,1,0,4
L08,S079,Base,1,0,4
L08,S080,Base,1,0,4
L08,S081,Base,1,0,4
L08,S082,Base,1,0,4
L08,S083,Base,0,1,4
L08,S084,Base,0,0,4
L08,S085,Base,1,0,4
L08,S086,Base,1,0,4
L08,S087,Base,1,0,4
L08,S088,Base,0,0,4
L08,S089,Base,1,0,4
L08,S090,Base,0,0,4
